secteur,region,tranche_age,genre,niveau_instruction,profession,note_attente,note_accueil,note_service,nb_visites,score_moyen,satisfaction,risque_reclamation,intention_revisite
Bureau,Monastir,18-24 ans,Féminin,Universitaire,Sans emploi,2,3,5,5,3.3333333333333335,0,1,0
Colis,Tunis,55 ans et plus,Masculin,Secondaire,Sans emploi,3,3,3,10,3.0,0,0,0
Abonnée,Kairouan,18-24 ans,Masculin,Sans instruction,Commerçant,5,1,2,6,2.6666666666666665,0,1,0
Bureau,Tunis,55 ans et plus,Masculin,Universitaire,Fonctionnaire,5,4,2,19,3.6666666666666665,1,0,1
Bureau,Nabeul,18-24 ans,Masculin,Post-universitaire,Retraité,4,2,3,13,3.0,0,0,0
Colis,Bizerte,18-24 ans,Féminin,Secondaire,Etudiant,1,1,4,1,2.0,0,1,0
Abonnée,Sousse,18-24 ans,Féminin,Post-universitaire,Etudiant,4,4,2,15,3.3333333333333335,0,0,0
Abonnée,Monastir,18-24 ans,Masculin,Primaire,Sans emploi,2,4,1,14,2.3333333333333335,0,1,0
Bureau,Sfax,35-44 ans,Masculin,Secondaire,Etudiant,5,2,3,8,3.3333333333333335,0,0,0
Passagers,Sousse,Moins de 18 ans,Masculin,Universitaire,Fonctionnaire,1,2,2,10,1.6666666666666667,0,1,0
Bureau,Nabeul,25-34 ans,Féminin,Secondaire,Fonctionnaire,2,2,4,9,2.6666666666666665,0,1,0
Bureau,Kairouan,45-54 ans,Féminin,Post-universitaire,Salarié,2,1,2,17,1.6666666666666667,0,1,0
Bureau,Sfax,25-34 ans,Féminin,Sans instruction,Salarié,1,5,5,9,3.6666666666666665,1,1,1
Bureau,Médenine,25-34 ans,Féminin,Secondaire,Etudiant,2,2,1,3,1.6666666666666667,0,1,0
Colis,Gafsa,55 ans et plus,Masculin,Universitaire,Retraité,1,5,3,11,3.0,0,1,0
Abonnée,Sfax,Moins de 18 ans,Masculin,Primaire,Salarié,1,1,5,12,2.3333333333333335,0,1,0
Colis,Nabeul,55 ans et plus,Masculin,Sans instruction,Salarié,3,5,4,10,4.0,1,0,1
Colis,Gabès,Moins de 18 ans,Féminin,Primaire,Fonctionnaire,4,3,5,17,4.0,1,0,1
Colis,Gafsa,Moins de 18 ans,Masculin,Secondaire,Retraité,2,5,5,17,4.0,1,1,1
Bureau,Tunis,18-24 ans,Féminin,Post-universitaire,Sans emploi,2,2,4,11,2.6666666666666665,0,1,0
Passagers,Monastir,35-44 ans,Féminin,Post-universitaire,Etudiant,3,1,5,4,3.0,0,0,0
Abonnée,Tunis,18-24 ans,Masculin,Universitaire,Salarié,3,2,3,7,2.6666666666666665,0,1,0
Passagers,Sfax,35-44 ans,Masculin,Post-universitaire,Retraité,3,3,2,14,2.6666666666666665,0,1,0
Colis,Tunis,55 ans et plus,Masculin,Sans instruction,Retraité,5,2,5,7,4.0,1,0,0
Colis,Nabeul,35-44 ans,Féminin,Post-universitaire,Etudiant,5,2,3,8,3.3333333333333335,0,0,0
Passagers,Médenine,55 ans et plus,Féminin,Universitaire,Retraité,5,2,2,1,3.0,0,0,0
Passagers,Kairouan,25-34 ans,Masculin,Secondaire,Retraité,1,4,2,4,2.3333333333333335,0,1,0
Passagers,Monastir,25-34 ans,Masculin,Secondaire,Retraité,2,3,5,12,3.3333333333333335,0,1,0
Colis,Tunis,35-44 ans,Féminin,Post-universitaire,Salarié,4,2,3,3,3.0,0,0,0
Colis,Tunis,35-44 ans,Masculin,Primaire,Etudiant,1,2,5,13,2.6666666666666665,0,1,0
Abonnée,Sfax,55 ans et plus,Féminin,Secondaire,Retraité,2,2,4,6,2.6666666666666665,0,1,0
Abonnée,Kairouan,18-24 ans,Féminin,Post-universitaire,Retraité,2,1,2,11,1.6666666666666667,0,1,0
Colis,Sousse,55 ans et plus,Masculin,Universitaire,Salarié,3,4,5,4,4.0,1,0,1
Passagers,Tunis,18-24 ans,Masculin,Post-universitaire,Etudiant,3,1,2,16,2.0,0,1,0
Passagers,Nabeul,25-34 ans,Masculin,Secondaire,Fonctionnaire,1,4,3,7,2.6666666666666665,0,1,0
Abonnée,Gabès,Moins de 18 ans,Masculin,Universitaire,Salarié,3,2,1,11,2.0,0,1,0
Colis,Monastir,35-44 ans,Féminin,Post-universitaire,Etudiant,2,3,5,1,3.3333333333333335,0,1,0
Abonnée,Tunis,18-24 ans,Féminin,Sans instruction,Retraité,3,5,5,7,4.333333333333333,1,0,1
Abonnée,Nabeul,55 ans et plus,Féminin,Universitaire,Etudiant,5,5,2,12,4.0,1,0,1
Bureau,Nabeul,25-34 ans,Masculin,Sans instruction,Etudiant,3,2,3,7,2.6666666666666665,0,1,0
Bureau,Monastir,18-24 ans,Féminin,Primaire,Sans emploi,2,1,4,7,2.3333333333333335,0,1,0
Bureau,Sousse,55 ans et plus,Masculin,Universitaire,Etudiant,1,3,3,10,2.3333333333333335,0,1,0
Passagers,Nabeul,35-44 ans,Masculin,Sans instruction,Fonctionnaire,4,4,5,16,4.333333333333333,1,0,1
